Gene	S1	S2	S3	S4	S5	S6	S7	S8
ABHD5	-0.09407163390827934	-0.5710770727584312	-0.19403527139768614	-0.20065786914093872	-0.02330465152590626	-0.07010471647692346	-0.20177498534558397	-0.44672309935658167
ABHD6	-0.13485091872775712	-0.5969002605138214	0.03839216395935005	-0.0744210102304383	-0.08517343683628258	-0.285070901407431	0.1075491497717204	-0.0910202300547678
ABHD8	-0.14620395982241852	0.016557766174146425	-0.15653381868128474	-0.3872930876138964	-0.6308779003700814	-0.24579588919837603	-0.3111897009129305	-0.4983328674932999
ABI1	-0.01653999121941809	-0.03052550768606289	0.16867290163069093	0.15164859796199032	0.22081224373866715	-0.036137375914477486	0.04504340305751908	-0.007308168948488824
ABI1P1	-0.5954371570952625	-0.5969002605138214	-0.5683761320664446	-0.6653908487902997	-0.6308779003700814	-0.6277553246066079	-0.6407628351460615	-0.6717911417961083
ABI2	-0.3404541658973707	-0.0838193229855473	-0.2673275169571957	-0.32942674082630313	-0.6308138904467129	-0.47353627423524325	-0.6407628347783848	0.16382885001301128
ABI3	-0.22621146073234874	-0.5316157493559931	0.6920098743079208	-0.44628562115111287	0.22581326008812264	-0.6277553246066079	0.06847703410340023	-0.6717911417961083
ABITRAM	0.009921045142909691	0.23625057873479366	0.030382088923247386	0.7079394219372912	-0.05206703751516882	0.5017116795145449	0.599029263042176	-0.04136882403268021
ABL1	1.6946229037675458	1.85492005678449	1.4728954767481504	2.3222385212147088	1.9862984818441043	1.2067156662571425	2.001316713089374	0.7956136827462469
ABLIM1	0.36744532537392566	0.48375247405183924	0.7168831838543684	0.4095144754249588	0.34779868048852397	0.17471436540559224	0.6603565116735963	0.29077563783796995
ABLIM2	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.5947263644044746	-0.6308779003700814	-0.6277553246066079	-0.6407628351460615	-0.6717911417961083
ABO	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.6308779003700814	-0.6277553246066079	-0.4924155498118503	0.10173423278325097
ABRACL	0.5469506533177831	-0.5969002605138214	-0.06219606511338967	0.20058956535806127	-0.39095161881215607	0.5374952748843811	0.005735946183263903	0.38864760343789556
ABRAXAS1	0.48619478675169325	0.2873446252370801	0.22772676915388038	0.3410998146521895	0.4288004990346538	0.5108530706017174	0.33440907841737205	0.23438173411046634
ABT1P1	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.4247493437299385	-0.6277553246066079	-0.6407628351460615	-0.6717911417961083
ABTB1	0.3782872792350169	0.6178816055341705	0.43566590751644496	0.21286163336493297	0.2234443817227772	0.8019653776351583	0.7223205914379297	0.9861546827630264
ABTB2	-0.5954354892369235	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.6308779003700814	-0.6277553246066079	-0.6407628351460615	-0.6717911417961083
ACAA1	-0.38468503471746335	-0.19294625410244381	-0.39539487498300013	-0.6653908487902997	-0.5097828956938694	-0.1328492326698603	-0.3090034485987929	-0.33659878781848523
ACAA2	-0.035196385075982814	0.3016872513490877	0.5189777990181917	0.20197744755866245	0.28699087637287884	0.762868822680195	0.7612538533236424	0.8884242535281776
ACACA	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.6308778993745229	-0.6277553246066079	-0.6407628351460615	-0.6595096895954766
ACACB	-0.5194065754554387	-0.4294974503462552	-0.3658503358280513	-0.33464909577719276	-0.34653719024647933	-0.488551188351412	-0.4631109934761984	-0.37931664172938934
ACAD10	-0.5215290685864411	-0.5064807398000536	-0.41428322977173143	-0.30409718099708577	-0.5653625152478664	-0.4729585062203557	-0.41676353268630423	-0.3509571586508773
ACAD11	-0.5954371570952625	-0.46627160116210475	-0.34361008923632047	-0.46323009008657057	-0.6308779003700814	-0.12385330440387042	-0.6407628351460615	-0.6717911417961083
ACAD8	-0.0588422378559288	-0.19430616659565622	0.08803183167710453	-0.36646432971500476	-0.11700710115294982	-0.22105633176350828	-0.01841913306309227	-0.12566916274198273
ACAD9	-0.5954371570952625	-0.27357703063190536	-0.6134450475771975	-0.5819977379828111	-0.4416797438661821	-0.09172002905128436	-0.3988698821410174	-0.5557267596308779
ACADM	-0.3991559224854984	-0.21512804643518701	-0.31595847694223833	-0.1662965777061248	-0.18869936608922128	-0.021641087616412102	-0.04174559903435425	0.09439575869672402
